event,time,delta
event,3891.805,1890.854
event,7075.542,1182.925
event,7236.041,160.498
event,7396.159,160.119
event,10748.538,1351.998
event,12075.679,1327.142
event,12227.735,152.056
event,12587.671,359.935
event,15052.059,463.574
event,15916.438,864.378
event,16068.517,152.079
event,16444.003,375.487
event,20916.238,471.049
event,22612.123,1695.885
event,22836.442,224.319
event,23779.885,943.443
event,24731.986,952.101
event,24948.129,216.143
event,26179.865,1231.737
event,27084.015,904.15
event,27276.404,192.389
event,28588.703,1312.299
event,29476.349,887.646
event,29676.673,200.324
event,29860.902,184.229
